set reminder for drink water	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
set reminder for drink water __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_
hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
hey can you set a wake up alarm for me __eou__  __eout__  sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_ __eoa__  __eoat__  wake up call date date time time	_reminder_interim_ __eoa__  youre all set ill make sure youre up at _time_ on mon _date_ __eoa__  _blank_
_reminder_notification_ __eoa__  __eoat__  hey can you set a reminder for me to call someone	sure _name_ i just need a few details to get this done __eoa__  _chatform_59_
_reminder_notification_ __eoa__  __eoat__  hey can you set a reminder for me to call someone __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
_reminder_notification_ __eoa__  __eoat__  hey can you set a reminder for me to call someone __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
_reminder_notification_ __eoa__  __eoat__  hey can you set a reminder for me to call someone __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  date date task task time time __eou__  __eout__  _api_todo_set_ __eoa__  _chatform_101_ __eoa__  __eoat__  date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
_reminder_notification_ __eoa__  __eoat__  hey can you set a reminder for me to call someone __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  date date task task time time __eou__  __eout__  _api_todo_set_ __eoa__  _chatform_101_ __eoa__  __eoat__  date date task task time time __eou__  __eout__  _api_todo_set_ __eoa__  _chatform_101_ __eoa__  _reminder_notification_ __eoa__  __eoat__  hey can you set a reminder for me to call someone	sure _name_ i just need a few details to get this done __eoa__  _chatform_59_
hi please can you set a reminder to call a friend at _numeral_	sure _name_ i just need a few details to get this done __eoa__  _chatform_59_
hi please can you set a reminder to call a friend at _numeral_ __eou__  __eout__  sure _name_ i just need a few details to get this done __eoa__  _chatform_59_ __eoa__  __eoat__  reminder to call date date name of person name_of_person time time	_reminder_interim_ __eoa__  and your reminder is set for _time_ on mon _date_ have a fantastic day
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
set up a wake up call	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
_reminder_notification_ __eoa__  __eoat__  thank you	welcome
_reminder_notification_ __eoa__  __eoat__  thank you __eou__  __eout__  welcome __eoa__  _reminder_notification_ __eoa__  __eoat__  thank you	welcome
_reminder_notification_ __eoa__  __eoat__  thank you __eou__  __eout__  welcome __eoa__  _reminder_notification_ __eoa__  __eoat__  thank you __eou__  __eout__  welcome __eoa__  __eoat__  _emoticon_	_blank_
_reminder_notification_ __eoa__  __eoat__  thank you __eou__  __eout__  welcome __eoa__  _reminder_notification_ __eoa__  __eoat__  thank you __eou__  __eout__  welcome __eoa__  __eoat__  _emoticon_ __eou__  __eout__  _blank_ __eoa__  __eoat__  thank you	welcome
hey can you set a reminder for me to call someone	sure _name_ i just need a few details to get this done __eoa__  _chatform_59_
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
_reminder_notification_ __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
_reminder_notification_ __eoa__  __eoat__  remind me to book redmi 3s on flipkart flash sale _date_ noon	thank you _name_ what time should i remind you at
please show my to do list of pending tasks _to_do_list_	_api_call_remind_anniversary_ __eoa__  _chatform_101_
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
hey can you set a wake up alarm for me __eou__  __eout__  sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_ __eoa__  __eoat__  wake up call date date time time	_reminder_interim_ __eoa__  youre all set ill make sure youre up at _time_ on mon _date_
would you please be specific __eoa__  __eoat__  nlp __eou__  do you use it __eou__  natural language processing __eou__  __eout__  believe us we are real humans this is not a computer or a bot a bot cant understand the emotions of the users whatsoever it is so we prefer assigning real humans only __eoa__  __eoat__  ohh __eou__  sorry for that __eou__  __eout__  anything i can assist you with __eoa__  __eoat__  i was just wondering how can you handle so many users without nlp __eou__  no __eou__  just wake me up __eou__  thank you __eou__  __eout__  sure you will definitely get the reminder __eoa__  you are welcome good night take care __eoa__  __eoat__  you too __eou__  hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
ohh __eou__  sorry for that __eou__  __eout__  anything i can assist you with __eoa__  __eoat__  i was just wondering how can you handle so many users without nlp __eou__  no __eou__  just wake me up __eou__  thank you __eou__  __eout__  sure you will definitely get the reminder __eoa__  you are welcome good night take care __eoa__  __eoat__  you too __eou__  hey can you set a wake up alarm for me __eou__  __eout__  sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_ __eoa__  __eoat__  wake up call date date time time	_reminder_interim_ __eoa__  youre all set ill make sure youre up at _time_ on tue _date_
no __eou__  just wake me up __eou__  thank you __eou__  __eout__  sure you will definitely get the reminder __eoa__  you are welcome good night take care __eoa__  __eoat__  you too __eou__  hey can you set a wake up alarm for me __eou__  __eout__  sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_ __eoa__  __eoat__  wake up call date date time time __eou__  __eout__  _reminder_interim_ __eoa__  youre all set ill make sure youre up at _time_ on tue _date_ __eoa__  __eoat__  thank you __eou__  __eout__  you are welcome do let us know if you need any further assistance i will be happy to help you __eoa__  __eoat__  sure	have a wonderful day ahead
thank you __eou__  __eout__  sure you will definitely get the reminder __eoa__  you are welcome good night take care __eoa__  __eoat__  you too __eou__  hey can you set a wake up alarm for me __eou__  __eout__  sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_ __eoa__  __eoat__  wake up call date date time time __eou__  __eout__  _reminder_interim_ __eoa__  youre all set ill make sure youre up at _time_ on tue _date_ __eoa__  __eoat__  thank you __eou__  __eout__  you are welcome do let us know if you need any further assistance i will be happy to help you __eoa__  __eoat__  sure __eou__  __eout__  have a wonderful day ahead __eoa__  __eoat__  _emoticon_	_blank_ __eoa__  thank you
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  idbi po _date_	definitely _name_ i will set a reminder for you can you please tell me at what time i should remind you
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  idbi po _date_ __eou__  __eout__  definitely _name_ i will set a reminder for you can you please tell me at what time i should remind you __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  idbi po _date_ __eou__  __eout__  definitely _name_ i will set a reminder for you can you please tell me at what time i should remind you __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  syndicate po _date_	definitely _name_ i will set a reminder for you can you please tell me at what time i should remind you
hi i have a meeting coming up can you remind me	definitely _name_ i just need a few details __eoa__  _chatform_56_
please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
_reminder_notification_ __eoa__  hi good morning hope you are doing well __eoa__  yes sure let me help you with it __eoa__  i have canceled all your wake up reminders __eoa__  please let me know if you need to add any more reminders have a great day ahead __eoa__  __eoat__  thank you i will let you know about the next reminder by _date_ __eou__  __eout__  you are welcome sure do let me know about it __eoa__  _reminder_notification_ __eoa__  __eoat__  hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
_reminder_notification_ __eoa__  hi good morning hope you are doing well __eoa__  yes sure let me help you with it __eoa__  i have canceled all your wake up reminders __eoa__  please let me know if you need to add any more reminders have a great day ahead __eoa__  __eoat__  thank you i will let you know about the next reminder by _date_ __eou__  __eout__  you are welcome sure do let me know about it __eoa__  _reminder_notification_ __eoa__  __eoat__  hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_
you are welcome sure do let me know about it __eoa__  _reminder_notification_ __eoa__  __eoat__  hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders __eou__  __eout__  _reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  _reminder_notification_ __eoa__  __eoat__  hi please disable all water drink reminders __eou__  __eout__  give me a minute to check on that __eoa__  i have canceled all your reminders __eoa__  __eoat__  thank you __eou__  __eout__  you are welcome let me know if you need any further assistance have a nice day __eoa__  _blank_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
_reminder_notification_ __eoa__  __eoat__  hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders __eou__  __eout__  _reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  _reminder_notification_ __eoa__  __eoat__  hi please disable all water drink reminders __eou__  __eout__  give me a minute to check on that __eoa__  i have canceled all your reminders __eoa__  __eoat__  thank you __eou__  __eout__  you are welcome let me know if you need any further assistance have a nice day __eoa__  _blank_ __eoa__  __eoat__  _33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_
hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders __eou__  __eout__  _reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  _reminder_notification_ __eoa__  __eoat__  hi please disable all water drink reminders __eou__  __eout__  give me a minute to check on that __eoa__  i have canceled all your reminders __eoa__  __eoat__  thank you __eou__  __eout__  you are welcome let me know if you need any further assistance have a nice day __eoa__  _blank_ __eoa__  __eoat__  _33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_
_blank_ __eoa__  __eoat__  _33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders __eou__  __eout__  _reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  _reminder_notification_ __eoa__  __eoat__  hi please disable all water drink reminders __eou__  __eout__  give me a minute to check on that __eoa__  i have canceled all your reminders __eoa__  __eoat__  thank you __eou__  __eout__  you are welcome let me know if you need any further assistance have a nice day __eoa__  _blank_ __eoa__  __eoat__  _33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_
_33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders __eou__  __eout__  _reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  _reminder_notification_ __eoa__  __eoat__  hi please disable all water drink reminders __eou__  __eout__  give me a minute to check on that __eoa__  i have canceled all your reminders __eoa__  __eoat__  thank you __eou__  __eout__  you are welcome let me know if you need any further assistance have a nice day __eoa__  _blank_ __eoa__  __eoat__  _33_ __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_
hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_
please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  __eoat__  add a new to do date date task task time time	_api_todo_set_ __eoa__  _chatform_101_
hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
_reminder_notification_ __eoa__  __eoat__  hi	hi _name_
hey _name_	hi _name_ what can i do for you
hey _name_ __eou__  __eout__  hi _name_ what can i do for you __eoa__  __eoat__  you have been a good reminder till now	_name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_
hey _name_ __eou__  __eout__  hi _name_ what can i do for you __eoa__  __eoat__  you have been a good reminder till now __eou__  __eout__  _name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_ __eoa__  __eoat__  you have solved my water problems	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hey _name_ __eou__  __eout__  hi _name_ what can i do for you __eoa__  __eoat__  you have been a good reminder till now __eou__  __eout__  _name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_ __eoa__  __eoat__  you have solved my water problems __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  thank you for that	you are welcome _name_
_reminder_notification_ __eoa__  __eoat__  hi could you remind me to take my medicines __eou__  please show my to do list of pending tasks _to_do_list_	_api_todo_show_ __eoa__  _chatform_101_ __eoa__  got it is this for _date_ or some other day
_reminder_notification_ __eoa__  __eoat__  hi could you remind me to take my medicines __eou__  please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  _api_todo_show_ __eoa__  _chatform_101_ __eoa__  got it is this for _date_ or some other day __eoa__  __eoat__  for _date_ __eou__  __eout__  alright i have changed your reminder time to _time_ __eoa__  __eoat__  thank you __eou__  can i add one more	_api_call_remind_general_
hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
_reminder_notification_ __eoa__  __eoat__  remind me for marriage anniversary on _date_	thank you _name_ what time should i remind you at
_reminder_notification_ __eoa__  __eoat__  remind me for marriage anniversary on _date_ __eou__  __eout__  thank you _name_ what time should i remind you at __eoa__  __eoat__  _time_ on _date_	_reminder_interim_ __eoa__  _api_call_remind_anniversary_
hi i want to set a reminder to drink water __eou__  __eout__  _blank_ __eoa__  __eoat__  _33_	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hi _name_ wake me up early in the morning at _time_	for sure _name_ would you like me to wake you up _date_ or on some other date
hi _name_ wake me up early in the morning at _time_ __eou__  __eout__  for sure _name_ would you like me to wake you up _date_ or on some other date __eoa__  __eoat__  _date_	_reminder_interim_ __eoa__  got it ill call you at _time_ on tue _date_ and make sure youre up
hi _name_ wake me up early in the morning at _time_ __eou__  __eout__  for sure _name_ would you like me to wake you up _date_ or on some other date __eoa__  __eoat__  _date_ __eou__  __eout__  _reminder_interim_ __eoa__  got it ill call you at _time_ on tue _date_ and make sure youre up __eoa__  got it i am scheduling this for you __eoa__  got it ill call you at _time_ on mon _date_ and make sure youre up __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_	_name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_
hi _name_ wake me up early in the morning at _time_ __eou__  __eout__  for sure _name_ would you like me to wake you up _date_ or on some other date __eoa__  __eoat__  _date_ __eou__  __eout__  _reminder_interim_ __eoa__  got it ill call you at _time_ on tue _date_ and make sure youre up __eoa__  got it i am scheduling this for you __eoa__  got it ill call you at _time_ on mon _date_ and make sure youre up __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  there are now to dos set __eoa__  would you like to set one __eoa__  to do reminders _chatform_ __eoa__  _name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_ __eoa__  __eoat__  set a reminder date date time time	_reminder_interim_ __eoa__  _api_todo_set_ __eoa__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
for sure _name_ would you like me to wake you up _date_ or on some other date __eoa__  __eoat__  _date_ __eou__  __eout__  _reminder_interim_ __eoa__  got it ill call you at _time_ on tue _date_ and make sure youre up __eoa__  got it i am scheduling this for you __eoa__  got it ill call you at _time_ on mon _date_ and make sure youre up __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  there are now to dos set __eoa__  would you like to set one __eoa__  to do reminders _chatform_ __eoa__  _name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_ __eoa__  __eoat__  set a reminder date date time time __eou__  __eout__  _reminder_interim_ __eoa__  _api_todo_set_ __eoa__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  _share_ __eoa__  _share_ __eoa__  _share_ __eoa__  rise and shine _name_ i can help you plan your week ahead just text me to set up your to do list
_date_ __eou__  __eout__  _reminder_interim_ __eoa__  got it ill call you at _time_ on tue _date_ and make sure youre up __eoa__  got it i am scheduling this for you __eoa__  got it ill call you at _time_ on mon _date_ and make sure youre up __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  there are now to dos set __eoa__  would you like to set one __eoa__  to do reminders _chatform_ __eoa__  _name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_ __eoa__  __eoat__  set a reminder date date time time __eou__  __eout__  _reminder_interim_ __eoa__  _api_todo_set_ __eoa__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  _share_ __eoa__  _share_ __eoa__  _share_ __eoa__  rise and shine _name_ i can help you plan your week ahead just text me to set up your to do list
_reminder_interim_ __eoa__  got it ill call you at _time_ on tue _date_ and make sure youre up __eoa__  got it i am scheduling this for you __eoa__  got it ill call you at _time_ on mon _date_ and make sure youre up __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  there are now to dos set __eoa__  would you like to set one __eoa__  to do reminders _chatform_ __eoa__  _name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_ __eoa__  __eoat__  set a reminder date date time time __eou__  __eout__  _reminder_interim_ __eoa__  _api_todo_set_ __eoa__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  _share_ __eoa__  _share_ __eoa__  _share_ __eoa__  rise and shine _name_ i can help you plan your week ahead just text me to set up your to do list
got it ill call you at _time_ on tue _date_ and make sure youre up __eoa__  got it i am scheduling this for you __eoa__  got it ill call you at _time_ on mon _date_ and make sure youre up __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  there are now to dos set __eoa__  would you like to set one __eoa__  to do reminders _chatform_ __eoa__  _name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_ __eoa__  __eoat__  set a reminder date date time time __eou__  __eout__  _reminder_interim_ __eoa__  _api_todo_set_ __eoa__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  _share_ __eoa__  _share_ __eoa__  _share_ __eoa__  rise and shine _name_ i can help you plan your week ahead just text me to set up your to do list
got it i am scheduling this for you __eoa__  got it ill call you at _time_ on mon _date_ and make sure youre up __eoa__  __eoat__  please show my to do list of pending tasks _to_do_list_ __eou__  __eout__  there are now to dos set __eoa__  would you like to set one __eoa__  to do reminders _chatform_ __eoa__  _name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_ __eoa__  __eoat__  set a reminder date date time time __eou__  __eout__  _reminder_interim_ __eoa__  _api_todo_set_ __eoa__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_ __eoa__  _share_ __eoa__  _share_ __eoa__  _share_ __eoa__  rise and shine _name_ i can help you plan your week ahead just text me to set up your to do list
hi	hi _name_ how may i help you
hi __eou__  __eout__  hi _name_ how may i help you __eoa__  __eoat__  _name_ how are you	im doing great
wake up call _chatform_ __eoa__  __eoat__  there is now to do reminder set to your number i did not get this one which you send me __eou__  __eout__  i want to say that there is now to do task added to your number __eoa__  to do reminders _chatform_ __eoa__  do help me with above details to set to do reminder for you __eoa__  __eoat__  add a new to do date date task task time time __eou__  did you got dear __eou__  __eout__  _api_todo_set_ __eoa__  have a great time ahead __eoa__  __eoat__  i want to do one more __eou__  can you send me that one again __eou__  please show my to do list of pending tasks _to_do_list_	_reminder_interim_
hey can you send me regular reminders to drink water	sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_
hey can you send me regular reminders to drink water __eou__  __eout__  sure _name_ i just need to know how frequently i should remind you __eoa__  _chatform_65_ __eoa__  __eoat__  reminder to drink water frequency of reminders frequency_of_reminders	_reminder_interim_ __eoa__  _api_call_remind_water_
hi i have a meeting coming up can you remind me	definitely _name_ i just need a few details __eoa__  _chatform_56_
hi i have a meeting coming up can you remind me __eou__  __eout__  definitely _name_ i just need a few details __eoa__  _chatform_56_ __eoa__  __eoat__  meeting at _time_	for sure _name_ would you like me to remind you _date_ or on some other date
remind me to close interest subsidy _date_	thank you _name_ what time should i remind you at
remind me to close interest subsidy _date_ __eou__  __eout__  thank you _name_ what time should i remind you at __eoa__  __eoat__  at _time_	_api_call_remind_general_
remind me to close interest subsidy _date_ __eou__  __eout__  thank you _name_ what time should i remind you at __eoa__  __eoat__  at _time_ __eou__  __eout__  _api_call_remind_general_ __eoa__  __eoat__  thank you	you are welcome
remind me to close interest subsidy _date_ __eou__  __eout__  thank you _name_ what time should i remind you at __eoa__  __eoat__  at _time_ __eou__  __eout__  _api_call_remind_general_ __eoa__  __eoat__  thank you __eou__  __eout__  you are welcome __eoa__  __eoat__  i am out remind me again _time_	for sure _name_ what date would you like me to remind you on
remind me to contact bani	_name_ i just need a few details to set this reminder for you __eoa__  _chatform_34_
_reminder_notification_ __eoa__  __eoat__  _emoticon_	_blank_
hey can you set a reminder for me to call someone	sure _name_ i just need a few details to get this done __eoa__  _chatform_59_
_reminder_notification_ __eoa__  __eoat__  hey can you set a wake up alarm for me	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
_reminder_notification_ __eoa__  __eoat__  hey can you set a wake up alarm for me __eou__  __eout__  sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_ __eoa__  __eoat__  wake up call date date time time	_reminder_interim_ __eoa__  youre all set ill make sure youre up at _time_ on mon _date_
_chatform_33_ __eoa__  __eoat__  wake up call date date time time __eou__  __eout__  _reminder_interim_ __eoa__  youre all set ill make sure youre up at _time_ on mon _date_ __eoa__  __eoat__  at _time_ __eou__  _date_ __eou__  __eout__  _reminder_interim_ __eoa__  __eoat__  and also on _time_ _date_ __eou__  _time_ __eou__  __eout__  youre all set ill make sure youre up at _time_ on mon _date_ __eoa__  youre all set ill make sure youre up at _time_ on mon _date_ __eoa__  hope this helps you __eoa__  __eoat__  _blank_ __eou__  _date_ __eou__  __eout__  okay please give me a minute __eoa__  got it ill call you at _time_ on mon _date_ and make sure youre up __eoa__  _reminder_notification_ __eoa__  __eoat__  thank you	welcome
at _time_ __eou__  _date_ __eou__  __eout__  _reminder_interim_ __eoa__  __eoat__  and also on _time_ _date_ __eou__  _time_ __eou__  __eout__  youre all set ill make sure youre up at _time_ on mon _date_ __eoa__  youre all set ill make sure youre up at _time_ on mon _date_ __eoa__  hope this helps you __eoa__  __eoat__  _blank_ __eou__  _date_ __eou__  __eout__  okay please give me a minute __eoa__  got it ill call you at _time_ on mon _date_ and make sure youre up __eoa__  _reminder_notification_ __eoa__  __eoat__  thank you __eou__  __eout__  welcome __eoa__  __eoat__  i have an exam _date_ __eou__  _emoticon_ __eou__  __eout__  okay all the best for your exam do well __eoa__  __eoat__  _emoticon_	sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
_time_ __eou__  __eout__  youre all set ill make sure youre up at _time_ on mon _date_ __eoa__  youre all set ill make sure youre up at _time_ on mon _date_ __eoa__  hope this helps you __eoa__  __eoat__  _blank_ __eou__  _date_ __eou__  __eout__  okay please give me a minute __eoa__  got it ill call you at _time_ on mon _date_ and make sure youre up __eoa__  _reminder_notification_ __eoa__  __eoat__  thank you __eou__  __eout__  welcome __eoa__  __eoat__  i have an exam _date_ __eou__  _emoticon_ __eou__  __eout__  okay all the best for your exam do well __eoa__  __eoat__  _emoticon_ __eou__  __eout__  sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_ __eoa__  __eoat__  wake up call date date time time	_reminder_interim_ __eoa__  got it ill call you at _time_ on mon _date_ and make sure youre up __eoa__  sure _name_ i will wake you up i just need a few details __eoa__  _chatform_33_
